"","0","1","MeanDecreaseAccuracy","MeanDecreaseGini"
"LOAN",35.4168324056559,24.1561877153896,38.7024912487628,176.832903957872
"MORTDUE",28.0560921059307,12.8063838890932,31.582961884643,161.471720034384
"VALUE",34.5707372819094,11.8597948129295,37.0142983731218,173.939034409646
"REASON",13.5100417888448,2.06275831880363,13.7644993653881,18.6803494856135
"JOB",28.9522818908195,12.6401857327118,29.386130190029,84.0571543191682
"YOJ",42.4168497444918,9.42162697160561,40.0684689887014,111.653278048052
"DEROG",38.4042337895388,18.2638963444825,38.6575177647467,115.46862036487
"DELINQ",64.1439263528693,45.3899296455289,72.7978037586411,218.513623546115
"CLAGE",36.9523334591066,27.9506268944218,40.2424781980571,213.212272702273
"NINQ",27.9380874010105,11.3897116367097,29.0957146950323,87.7438625769397
"CLNO",39.2352994859249,19.3718147715961,41.5198427691677,158.934603161987
"DEBTINC",55.6032851507653,42.2466199963867,65.3666144692225,384.300864865119
